SKU,PO_Qty_Australia_Market,PO_Qty_Canada_Market,PO_Qty_Europe_Market,PO_Qty_US_Market,PO_Qty_Unallocated_PO,STPO_Qty_Australia_Market,STPO_Qty_Canada_Market,STPO_Qty_Europe_Market,STPO_Qty_US_Market,STPO_Qty_Unallocated_PO,STPO_Qty_STPO_Unlinked_To_Market,Effective_ETA_Australia_Market,Effective_ETA_Canada_Market,Effective_ETA_Europe_Market,Effective_ETA_US_Market,Effective_ETA_Unallocated_PO,Effective_ETA_STPO_Unlinked_To_Market,Total_STPO_InTransit_Global,Total_Inventory_Global,Total_Purchased_PO_Qty_Global,Incoming_Total_Qty_Global,Total_Ordered_Sales_Qty_Global,Inv_AGUS011,Inv_ALCA021,Inv_ANAU003,Inv_AUCN,Inv_EMCA001,Inv_EMCA003,Inv_EMCA006,Inv_FFCN,Inv_JDCATOR5,Inv_JDCAYVR2,Inv_JDUSCA4,Inv_JDUSHOU1,Inv_JDUSNJ4,Inv_NLAU001,Inv_NLAU002,Inv_Pierre_Claude_CA,Inv_Pierre_Claude_US,Inv_SKUS004,Inv_SKUS014,Inv_SKUS027,Inv_SWUS005,Inv_SWUS013,Inv_valencia_na_US
NS294-D50-16C4,0,6,0,0,0,0,0,0,0,0,0,,2025-07-14,,,,,0,22,6,6,0,0,0,0,4,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NS294-D52-16C4,0,6,0,0,0,0,0,0,0,0,0,,2025-07-14,,,,,0,22,6,6,0,0,0,0,4,0,0,0,13,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0
NS295-001-21B4,0,4,0,5,0,0,0,0,0,0,0,,2024-05-21,,2025-05-25,,,0,4,9,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NS295-001-21GL,0,6,0,2,0,0,0,0,0,0,0,,2025-08-06,,2025-05-25,,,0,1,8,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NS295-001-21L1,0,2,0,1,0,0,0,0,0,0,0,,2024-05-21,,2025-05-25,,,0,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NS295-001-21RB,0,9,0,6,0,0,0,0,0,0,0,,2025-07-14,,2025-05-25,,,0,6,15,15,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NS295-368-21B4,0,2,0,1,0,0,0,0,0,0,0,,2024-05-21,,2025-05-25,,,0,3,3,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NS295-368-21GL,0,2,0,0,0,0,0,0,0,0,0,,2024-05-21,,,,,0,12,2,2,0,0,0,0,0,0,0,2,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NS295-368-21L1,0,2,0,2,0,0,0,0,0,0,0,,2024-05-21,,2025-05-25,,,0,3,4,4,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NS295-368-21RB,0,3,0,0,0,0,0,0,0,0,0,,2025-07-14,,,,,0,2,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NS295-489-21B4,0,2,0,2,0,0,0,0,0,0,0,,2024-05-21,,2025-07-14,,,0,2,4,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NS295-489-21GL,0,2,0,0,0,0,0,0,0,0,0,,2025-08-06,,,,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NS295-489-21L1,0,1,0,2,0,0,0,0,0,0,0,,2025-05-24,,2025-05-25,,,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NS295-489-21RB,0,3,0,2,0,0,0,0,0,0,0,,2025-07-14,,2025-05-25,,,0,2,5,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
